city,temperature,humidity,timestamp
London,8.9,79,2025-03-09 09:18:34
Katowice,9.4,47,2025-03-09 09:18:35
Warsaw,7.8,49,2025-03-09 09:18:36
London,11.1,74,2025-03-09 10:24:56
Katowice,10.0,40,2025-03-09 10:24:56
Warsaw,10.0,44,2025-03-09 10:24:57
London,13.3,68,2025-03-09 11:18:06
Katowice,14.3,32,2025-03-09 11:18:07
Warsaw,11.7,41,2025-03-09 11:18:07
London,13.3,68,2025-03-09 11:23:05
Katowice,14.3,32,2025-03-09 11:23:06
Warsaw,11.7,41,2025-03-09 11:23:06
London,13.3,68,2025-03-09 11:28:06
Katowice,14.3,32,2025-03-09 11:28:07
Warsaw,11.7,41,2025-03-09 11:28:08
London,13.3,68,2025-03-09 11:33:05
Katowice,14.3,32,2025-03-09 11:33:06
Warsaw,11.7,41,2025-03-09 11:33:06
London,17.2,54,2025-03-09 15:19:43
Katowice,17.7,24,2025-03-09 15:19:43
Warsaw,16.7,34,2025-03-09 15:19:44
London,17.2,53,2025-03-09 15:38:05
Katowice,20.6,27,2025-03-09 15:38:06
Warsaw,16.7,35,2025-03-09 15:38:06
London,15.6,66,2025-03-09 18:43:33
Katowice,15.0,34,2025-03-09 18:43:34
Warsaw,14.4,46,2025-03-09 18:43:34
London,13.9,68,2025-03-09 19:38:06
Katowice,13.3,40,2025-03-09 19:38:07
Warsaw,14.4,50,2025-03-09 19:38:08
London,8.9,86,2025-03-10 05:31:44
Katowice,2.8,62,2025-03-10 05:31:45
Warsaw,8.3,68,2025-03-10 05:31:46
London,8.9,85,2025-03-10 05:36:43
Katowice,2.8,62,2025-03-10 05:36:43
Warsaw,8.3,68,2025-03-10 05:36:44
London,8.9,85,2025-03-10 05:36:45
Katowice,2.8,62,2025-03-10 05:36:46
Warsaw,8.3,68,2025-03-10 05:36:47
London,8.9,85,2025-03-10 05:42:35
Katowice,2.8,66,2025-03-10 05:42:36
Warsaw,8.3,64,2025-03-10 05:42:37
London,8.9,85,2025-03-10 05:42:38
Katowice,2.8,66,2025-03-10 05:42:38
Warsaw,8.3,64,2025-03-10 05:42:39
London,8.3,85,2025-03-10 06:02:04
Katowice,3.3,66,2025-03-10 06:02:05
Warsaw,8.3,64,2025-03-10 06:02:06
London,8.3,85,2025-03-10 06:02:08
Katowice,3.3,66,2025-03-10 06:02:08
Warsaw,8.3,64,2025-03-10 06:02:09
London,8.3,85,2025-03-10 06:22:36
Katowice,2.8,66,2025-03-10 06:22:37
Warsaw,8.3,64,2025-03-10 06:22:37
London,8.3,85,2025-03-10 06:22:39
Katowice,2.8,66,2025-03-10 06:22:39
Warsaw,8.3,64,2025-03-10 06:22:40
